Requirement,Specific_Type
The system must authenticate users prior to accessing an application or data.,SE
The system must prevent access to applications or data to all non-authenticated users.,SE
The system should provide the ability to implement a Chain of Trust agreement.,SE
"The system must authenticate users using at least one of the following authentication mechanisms: username/password, digital certificate, secure token or biometrics.",SE
The system must provide the ability to create and update sets of access-control permissions granted to users.,SE
The system must record all authorization actions.,SE
The system must allow security administrators to grant authorization to users.,SE
"The system could provide the ability to authorize users based on identity, role, work assignment, present condition, location, patient consent, or patients present condition.",SE
The system must provide the ability to define system and data access rules.,SE
The system must enforce system and data access rules for all resources.,SE
"The system must monitor initial entry, modification, or data exchange, and identify the user taking the action.",SE
The system must provide additional non-repudiation functionality.,SE
"The system should prevent repudiation of data origination, receipt, or access.",SE
The system could provide the ability to obfuscate data.,SE
The system must encrypt and decrypt data that is exchanged over a non-secure link.,SE
The system must support standards-based encryption mechanisms for secure data exchange.,SE
The system must route exchanged data to authenticated sources and destinations.,SE
The system should provide audit information about additions and changes to the status of destinations and sources.,SE
The system must provide the ability to associate any attestable content with the contents author.,SE
The system must indicate the status of attestable data which has not been attested.,SE
The system must provide the ability for attestation of content by the contents author.,SE
The system could provide the ability for attestation of content by authenticated and authorized users.,SE
The system could provide the ability to use digital signatures for attestation.,SE
The system must comply with the requirements for user privacy and confidentiality.,SE
The system must provide the ability to maintain varying levels of confidentiality.,SE
The system must protect user identities from other users.,SE
The system must provide the ability to store and retrieve user record data.,SE
The system could provide the ability to identify specific data records for destruction.,SE
The system could provide the ability to destroy data records so that all traces are removed.,SE
"The system must record access and usage of systems, data, and organizational resources.",SE
The system must indicate the author of a data change.,SE
The system should indicate the viewer of data.,SE
The system could provide audit capabilities to capture system events at the hardware and software architecture level.,SE
The system must limit access to audit record information to appropriate entities.,SE
The system must provide the ability to generate an audit report to authorized users.,SE
The system should provide the ability to record system maintenance events.,SE
The system should utilize standardized time keeping.,SE
The system should provide the ability to record and report audit information using a standards-based audit record format.,SE
The system should enable the use of linked registries and directories.,SE
The system should provide the ability to link entities to external information.,SE
The system must provide the ability to extract sensitive record information only to authoried users.,SE
The system should provide secure data exchange capabilities.,SE
The system should provide the ability to identify extracted information only to authorized users.,SE
The system should enable data extraction in standard-based formats.,SE
The system should provide the ability to extract data for administrative purposes only to authorized users.,SE
The system should provide the ability to extract data for financial purposes only to authorized users.,SE
The system could provide the ability to extract data for research purposes only to authorized users.,SE
The system could provide the ability to extract data for quality analysis purposes to authenticated users only.,SE
The system should prevent the extraction of data for public health purposes by non-authenticated and non-authorized users.,SE
The system must provide the ability to update user information.,SE
The system could track user information over time.,SE
The system should provide the ability to retrieve user information discretely.,SE
The system must provide the ability to use secure registry services and directories.,SE
The system must provide secure data interchange capabilities for using registry services and directories.,SE
The system should communicate with non-local registry services through standardized secure interfaces.,SE
The system should communicate with local registry services through standardized secure interfaces.,SE
The system should provide the ability to use registries or directories to uniquely identify users.,SE
The system must provide the ability to use standard terminologies to communicate with other systems.,SE
The system should provide the ability to use a formal standard terminology model.,SE
The system should provide the ability to use hierarchical inference searches that were expressed using standard terminology models.,SE
The system should provide the ability to use a terminology service.,SE
The system must provide the ability to use different versions of terminology standards.,SE
The system must provide the ability to update terminology standards.,SE
The system should interoperate with systems that use different versions of a terminology standard.,SE
The system should provide the ability to deprecate terminologies.,SE
The system could provide the ability to deprecate individual codes within a terminology.,SE
The system must provide the ability to perform interchange operations with other systems in a secure standardized way.,SE
The system must manage structured documents.,SE
The system must be able to retrieve and display structured documents from external sources only to authorized users.,SE
The system must provide the ability to use different versions of data-interchange standards.,SE
The system must provide the ability to change the way that data is transmitted.,SE
The system should provide the ability to deprecate an interchange standard.,SE
The system should provide the ability to interoperate with other systems that use known earlier standard versions.,SE
The system must provide the ability to support standards-based application integration.,SE
The system should provide the ability to support CCOW standards for application integration.,SE
The system could provide the ability to support WfMC standards for application integration.,SE
The system could provide the ability to support SOA security standards for application integration.,SE
The system must use interchange agreement standards when exchanging information with partners.,SE
The system could provide the ability to automatically discover interchange services and capabilities.,SE
The system could provide the ability to create access privilege rules.,SE
The system could provide the ability to customize access privilege rules.,SE
"The system could provide the ability to inactivate, obsolete, or destroy access privilege rules.",SE
The system could audit all changes to access privilege rules.,SE
The system should permit local setting of application timeout.,SE
The system should log a user off a particular workstation if the user logs on to another workstation.,SE
The system must validate all user input to ensure it does not exceed the specified size.,SE
The system must determine if a user is authorized to access a restricted Web page.,SE
The system must have security mechanisms that protect against denial-of-service attacks.,SE
The system must remain resilient when facing attacks.,SE
The system must behave reliably under denial-of-service attacks.,SE
The system must ensure the integrity of a user account information.,SE
The system must not return a restricted web page to a non-authenticated user.,SE
The system must not return a restricted web page to a non-authorized user.,SE
The system must not accept overlong input data.,SE
The system must not accept invalid URLs.,SE
The system must be built following SOA web service security standards.,SE
The development processes must comply with SSE-CMM capability level 3 or above.,SE
If projected the data must be readable. On a 10x10 projection screen 90% of viewers must be able to read Event / Activity data from a viewing distance of 30,US
The product shall be available during normal business hours. As long as the user has access to the client PC the system will be available 99% of the time during the first six months of operation.,A
If projected the data must be understandable. On a 10x10 projection screen 90% of viewers must be able to determine that Events or Activities are occuring in current time from a viewing distance of 100,US
The product shall ensure that it can only be accessed by authorized users. The product will be able to distinguish between authorized and unauthorized users in all access attempts,SE
The product shall be intuitive and self-explanatory.,US
The system shall have a MDI form that allows for the viewing of the graph and the data table.,FR
The system shall display the Events in a graph by time.,FR
The Disputes application must maintain a detailed history of every action that a user takes on a dispute case. This ensures a complete audit trail if questions arise later on with regard to a particular dispute case.,L
The Disputes System must prevent users from accessing any dispute cases that do not belong to their cardholder base.,FR
The Disputes System must allow the users to select disputable transactions (based on the age of the transaction) from a user interface and initiate a dispute (ticket retrieval request or chargeback notification) on the selected transaction.,FR
The Disputes System will provide the user the ability to create or initiate a ticket retrieval request. As part of ticket retrieval creation process the system must prompt the user to enter all the required information to create the ticket retrieval request. The ticket retrieval request is a document that is sent to merchant inquiring the validity of a transaction.,FR
