Requirement,Specific_Type
"Streaming server shall support 75 simultaneous streaming connections, with the ability to scale up to 200 connections by Release 3.",SC
The leads washing functionality will return the lead data supplied to the vendor along with the reason of rejection.,FR
"Within 6 seconds of a completed purchase, the application will generate invoices.",PE
"The system has to be able to support 300,000 users.",SC
The system shall be easy to use by callers and supervisors. Callers and supervisors must be able to accomplish any system task within 2 minutes.,US
Users must be allowed to integrate personal calendars.,O
End users will be able to easily switch between different application modes without affecting the overall performance of the product.,MN
"Users can switch between voice, touch, and traditional input methods with the system.",US
Only planned maintenance periods will allow limited downtime.,A
"General Public Access: Allows restriction to access by the general public, based on licensing terms, time period (embargo periods), location (IP range restrictions), restricted workstation access as well as other possible legal restrictions.",SE
Users must be able to restore previous versions of data.,O
The system must protect user identities from other users.,SE
"Application should be able to run on various network configurations, including Wi-Fi and Ethernet connections.",PO
"During maintenance, the application must maintain service continuity.",A
Regular code reviews will be conducted by senior developers to ensure the product's codebase remains clean and maintainable.,MN
The software was designed to run on distributed systems.,PO
The application will have background themes that reflect seasonal changes.,LF
Product shall be available for use 23 hours per day 365 days per year.,A
The product will have high availability.,A
The product must comply with the standards of the intranet page.,LF
All load transactions are on-line transactions. Authorization of funds for load transactions must require a form of cardholder verification. The load device must support on-line encrypted PIN or off-line PIN verification,SE
A Web interface should be able to handle a wide range of user interfaces and input methods.,PO
The system will make sure that user preferences are kept safe.,FT
The application needs to be able to handle multiple concurrent users.,PO
Display updates shall be refreshed every 90 seconds.,PE
The product will use a consistent color scheme.,LF
Users should be able to set up payment processing without technical assistance.,MN
The product must work with third-party tools.,MN
This prevents both malicious and false operation.,SE
Availability of the website shall be monitored by a dedicated team of IT professionals.,A
Automatic configuration of redundant settings is supported by the software.,FT
The software should allow for deployment and updating.,PO
80% of the customer base will be able to install the maintenance releases within 5 minutes.,MN
The ESIGN Act requires the system to meet certain requirements.,L
"Once the primary system is restored, automated failback will be supported by the software.",FT
All business rules specified in the Disputes System shall be in compliance with the Credit Card Accountability Responsibility and Disclosure Act.,L
The system will perform integrity checks.,FT
The product can only be accessed via secure networks.,PO
"When a ship is repaired, the product shall simulate the sound of a hammer striking an anvil.",LF
There is a link to a Facebook settings menu.,FR
"100,000 simultaneous voice calls will be handled.",SC
The system shall display all the matching products based on the search.,FR
The application should be accessible via a mobile device for on-the-go use.,PO
The Uniform Electronic Transactions Act requires user agreements to be in compliance.,L
The application will give a detailed account activity report in 10 seconds.,PE
A mechanism for repayment of funds associated with invalid transactions should be included in dispute resolution processes.,O
"A seamless user experience will be ensured by the system, which will provide a consistent look and feel across all platforms and devices.",LF
"During failures, the product will ensure that high priority services are functional.",FT
"Based on the selection the product categories will be listed: Outerwear,Soft Shell,Fleece,Knits,Wovens,Active Wear, Safety,Accessories,Team Wear, e.c.o. Collection",FR
The application must be able to process 500 concurrent data streams.,SC
The system will support active-active and active-passive setup.,FT
The application will support the roll back of failed updates.,MN
Any new features or functionality added to the product will be thoroughly tested by a minimum of 2 independent teams.,MN
"The system needs to be able to support 300,000 users.",SC
The interface will allow users to switch between languages easily.,LF
Users shall be able to easily reset system settings and preferences without requiring technical assistance,US
All actions that update a customer's order status must be recorded in the order activity log to ensure a complete audit trail and maintain accurate records.,L
The product will maintain a 99.8% uptime.,A
The product will require collaboration with a database management system (DBMS). The DBMS may be located on the same machine as the product or on a separate machine residing on the same computer network.,O
Regular updates and patches shall be performed on the product to ensure the latest security patches and features are installed.,O
Continuous availability for emergency services is ensured by the product.,A
A user shall be able to view their order history in under 1 minute.,PE
The system shall be able to display a report of needed classes for a given quarter for all cohorts of all programs for Program Administrators/Nursing Staff Members' planning purposes.,FR
The administrator will be able to de-activate a customer account in a minute.,PE
The application needs to be able to hold a database of up to 1 terabytes.,SC
The product must meet the standards of the International Federation of Accountants.,L
The product needs to provide drag-and-drop function for organizing items for most users.,US
The application will include built-in support for automated data archive and retrieval to ensure that historical data can be accessed quickly and efficiently.,O
"When a ship is launched, the product shall display a notification with a graphical representation of the ship setting sail.",LF
The system shall display the orders that are eligible to change.,FR
The product will be able to handle 1000 users in the next year.,SC
The catalog will be updated in real time.,PE
The product will handle up to 500 database operations per second.,SC
The product will allow rapid data recovery and backup processes.,SC
The system must use interchange agreement standards when exchanging information with partners.,SE
